[lark-cli] [WARN] proxy detected: HTTPS_PROXY=http://127.0.0.1:7890 — requests (including credentials) will transit through this proxy. Set LARK_CLI_NO_PROXY=1 to disable proxy.
`_record_id` is metadata for record operations, not a table field.

| _record_id | 新闻标题 | 关联装置 | 相关单位 | 新闻摘要 | 新闻链接 | 发布时间 | 相关人员 | 新闻类型 | 关联融资 | 新闻价值 | 提醒关注人 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| recvjRShnQCYrb | ITER发布新版基线，先以非核运行验证系统再进入D-T阶段 | [{"id":"recvk1TmXUh7gF"}] | [{"id":"recvk9ZmAnvxlW"}] | ITER新版基线将首次等离子体路线调整为更稳健的分阶段调试，把非核等离子体、系统集成和后续D-T运行拆开管理。 | [https://www.iter.org/node/20687/new-baseline-prioritize-robust-start-exploitation](https://www.iter.org/node/20687/new-baseline-prioritize-robust-start-exploitation) | 2024-07-03 00:00:00 | [] | ["装置/项目基线"] |  | ["影响全球ITER供应链、燃料循环与远期D-T实验时间判断。"] |  |
| recvjRShnQvso3 | JET最终氘氚实验创造69兆焦聚变能量纪录 | [{"id":"recvk1TmXUVVz5"}] | [{"id":"recvk9ZmAnwNSI"}] | JET在最终氘氚实验中产生69兆焦聚变能量，刷新其2021年59兆焦纪录，并为ITER和聚变电站工程提供运行数据。 | [https://www.gov.uk/government/news/jets-final-tritium-experiments-yield-new-fusion-energy-record](https://www.gov.uk/government/news/jets-final-tritium-experiments-yield-new-fusion-energy-record) | 2024-02-08 00:00:00 | [] | ["实验纪录"] |  | ["D-T运行、氚处理、壁材料和远程维护数据价值高。"] |  |
| recvjRShnQRINI | EAST实现1066秒高约束模等离子体运行 | [] | [{"id":"recvk9ZmAn8ule"}] | EAST把高约束模等离子体维持时间提升至1066秒，显示中国在稳态托卡马克运行和长脉冲控制方面继续保持领先。 | [https://bcas.cas.cn/head/202602/t20260214_1151007.html](https://bcas.cas.cn/head/202602/t20260214_1151007.html) | 2025-01-20 00:00:00 | [{"id":"recvkiVxyc7ysH"},{"id":"recvkiVxycnsjv"}] | ["实验纪录"] |  | ["长脉冲稳态运行能力是未来聚变堆控制与材料热负荷评估的核心指标。"] |  |
| recvjRShnQGqya | Wendelstein 7-X刷新43秒长脉冲高性能等离子体纪录 | [{"id":"recvk1YGDn9BuF"}] | [{"id":"recvk9ZmAn1eJF"}] | W7-X在长脉冲实验中获得43秒高性能等离子体运行结果，持续推进仿星器稳态路线验证。 | [https://www.ornl.gov/news/ornls-pellet-injector-enables-world-record-performance-w7-x](https://www.ornl.gov/news/ornls-pellet-injector-enables-world-record-performance-w7-x) | 2025-05-22 00:00:00 |  | ["实验纪录"] |  | ["对仿星器路线、稳态热管理和商业仿星器公司具有直接参考价值。"] |  |
| recvjRShnQ0TwB | NIF继续扩大点火实验收益，公开报道显示单次产额达到8.6兆焦级别 | [{"id":"recvk1TmXUtCte"}] | [{"id":"recvk9ZmAni6zB"}] | NIF在点火后持续提高惯性约束聚变实验输出，2025年公开资料显示其单次聚变产额已提升到8.6兆焦量级。 | [https://annual.llnl.gov/fy-2025/national-ignition-facility-2025](https://annual.llnl.gov/fy-2025/national-ignition-facility-2025) | 2025-04-07 00:00:00 |  | ["实验纪录"] |  | ["惯性约束聚变的靶丸、激光驱动、能量增益和国防/能源双用途路线均需跟踪。"] |  |
| recvk9U8egZS0V | BEST紧凑型聚变能实验装置杜瓦底座完成安装 | [{"id":"recvk1SGzPyQm3"}] | [{"id":"recvk9ZmAn8ule"}] | 合肥BEST装置完成杜瓦底座关键安装节点，标志着工程集成进入核心设备装配阶段。 | [https://english.hf.cas.cn/nr/headline/202510/t20251009_1075255.html](https://english.hf.cas.cn/nr/headline/202510/t20251009_1075255.html) | 2025-09-30 00:00:00 |  | ["装置建设"] |  | ["BEST是中国下一代紧凑型聚变能实验平台，进度直接影响国内聚变堆工程节奏。"] |  |
| recvk9U8egYJ76 | CFS宣布在弗吉尼亚建设首个并网商业聚变电站ARC | [] | [{"id":"recvkiWh3zcmeA"}] | CFS计划在美国弗吉尼亚州建设ARC聚变电站，并与Dominion Energy合作开展选址、电网和许可工作。 | [https://blog.cfs.energy/answering-the-call-for-more-energy/](https://blog.cfs.energy/answering-the-call-for-more-energy/) | 2024-12-17 00:00:00 | [] | ["商业电站"] |  | ["商业聚变从实验装置走向并网电站选址，是客户、电网和许可侧的重要信号。"] |  |
| recvk9U8egtjk4 | CFS宣布SPARC进入托卡马克装配阶段 | [] | [{"id":"recvk9ZmAn8uc6"}] | SPARC装置开始核心托卡马克装配，CFS称其正从部件制造推进到系统集成阶段。 | [https://blog.cfs.energy/cfs-takes-its-next-step-toward-fusion-energy-assembling-the-sparc-tokamak/](https://blog.cfs.energy/cfs-takes-its-next-step-toward-fusion-energy-assembling-the-sparc-tokamak/) | 2025-03-25 00:00:00 | [] | ["装置建设"] |  | ["高温超导磁体、真空室、低温系统和控制集成供应链需要持续跟踪。"] |  |
| recvk9U8egPdev | CFS完成8.63亿美元B2轮融资并称累计融资接近30亿美元 | [] | [{"id":"recvk9ZmAn8uc6"}] | CFS完成8.63亿美元Series B2融资，用于加速SPARC建设和ARC商业化。 | [https://www.cfs.energy/news-and-media/commonwealth-fusion-systems-raises-863-million-series-b2-round-to-accelerate-the-commercialization-of-fusion-energy/](https://www.cfs.energy/news-and-media/commonwealth-fusion-systems-raises-863-million-series-b2-round-to-accelerate-the-commercialization-of-fusion-energy/) | 2025-08-28 00:00:00 |  | ["融资"] |  | ["CFS仍是私营聚变融资标杆，投资方名单也反映算力、电力客户进入聚变赛道。"] |  |
